Angular frequency	Step time	Temperature	Oscillation strain	Oscillation stress	Tan(delta)	Storage modulus	Loss modulus
rad/s	min	°C	%	MPa		MPa	MPa
6.28319	16.2334	-15.404	0.136402	0.772695	0.203293	555.127	112.854
6.28319	16.2834	-15.252	0.136304	0.765452	0.204155	550.226	112.332
6.28319	16.3334	-15.112	0.136214	0.759753	0.204340	546.470	111.666
6.28319	16.3834	-14.986	0.136278	0.754234	0.204763	542.202	111.023
6.28319	16.4334	-14.842	0.136399	0.748023	0.205084	537.226	110.176
6.28319	16.4834	-14.700	0.136327	0.741269	0.205025	532.662	109.209
6.28319	16.5334	-14.520	0.136435	0.734623	0.205803	527.390	108.538
6.28319	16.5834	-14.329	0.136477	0.727157	0.205867	521.861	107.434
6.28319	16.6334	-14.217	0.136382	0.718955	0.206521	516.268	106.620
6.28319	16.6834	-14.078	0.136257	0.713205	0.207036	512.555	106.117
6.28319	16.7334	-13.923	0.136451	0.707776	0.207048	507.930	105.166
6.28319	16.7834	-13.793	0.136385	0.700113	0.206868	502.691	103.991
6.28319	16.8334	-13.630	0.136463	0.693530	0.207856	497.585	103.426
6.28319	16.8834	-13.471	0.136416	0.686247	0.208206	492.491	102.540
6.28319	16.9334	-13.328	0.136441	0.679204	0.208258	487.345	101.494
6.28319	16.9834	-13.187	0.136301	0.673083	0.208568	483.419	100.826
6.28319	17.0334	-13.082	0.136484	0.666951	0.208995	478.332	99.9687
6.28319	17.0834	-12.944	0.136394	0.660089	0.209236	473.700	99.1154
